section,row,seat,x,y
PL3,1,1,3314.29,5621.48
PL3,1,2,3302.11,5611.9
PL3,1,3,3289.95,5602.3
PL3,1,4,3277.78,5592.71
PL3,1,5,3265.62,5583.12
PL3,1,6,3253.46,5573.54
PL3,1,7,3241.32,5563.97
PL3,1,8,3229.18,5554.4
PL3,2,1,3302.34,5636.66
PL3,2,2,3290.16,5627.07
PL3,2,3,3278,5617.48
PL3,2,4,3265.83,5607.88
PL3,2,5,3253.67,5598.29
PL3,2,6,3241.51,5588.71
PL3,2,7,3229.37,5579.14
PL3,2,8,3217.23,5569.57
PL3,3,1,3290.38,5651.83
PL3,3,2,3278.22,5642.24
PL3,3,3,3266.05,5632.65
PL3,3,4,3253.89,5623.06
PL3,3,5,3241.73,5613.47
PL3,3,6,3229.56,5603.89
PL3,3,7,3217.39,5594.29
PL3,3,8,3205.22,5584.7
PL3,3,9,3193.05,5575.11
PL3,3,10,3180.91,5565.53
316,22,1,6831.97,6816.07
316,22,2,6818.42,6819.6
316,22,3,6804.87,6823.13
316,22,4,6791.32,6826.66
316,22,5,6777.78,6830.19
316,22,6,6764.23,6833.72
316,22,7,6750.68,6837.25
316,22,8,6737.13,6840.77
316,22,9,6723.58,6844.3
316,22,10,6710.04,6847.83
316,22,11,6696.49,6851.36
316,22,12,6682.94,6854.89
316,22,13,6669.39,6858.42
316,22,14,6655.85,6861.95
316,22,15,6642.3,6865.48
316,22,16,6628.75,6869.01
316,22,17,6615.2,6872.54
316,22,18,6601.65,6876.06
316,22,19,6588.11,6879.59
316,22,20,6574.56,6883.12
316,22,21,6561.01,6886.65
316,22,22,6547.46,6890.18
316,22,23,6533.91,6893.71
316,22,24,6520.37,6897.24
316,23,1,6838.14,6839.78
316,23,2,6824.6,6843.31
316,23,3,6811.05,6846.84
316,23,4,6797.5,6850.37
316,23,5,6783.95,6853.9
316,23,6,6770.4,6857.43
316,23,7,6756.86,6860.95
316,23,8,6743.31,6864.48
316,23,9,6729.76,6868.01
316,23,10,6716.21,6871.54
316,23,11,6702.66,6875.07
316,23,12,6689.12,6878.6
316,23,13,6675.57,6882.13
316,23,14,6662.02,6885.66
316,23,15,6648.47,6889.19
316,23,16,6634.93,6892.72
316,23,17,6621.38,6896.24
316,23,18,6607.83,6899.77
316,23,19,6594.28,6903.3
316,23,20,6580.73,6906.83
316,23,21,6567.19,6910.36
316,23,22,6553.64,6913.89
316,23,23,6540.09,6917.42
316,23,24,6526.54,6920.95
316,24,1,6844.32,6863.49
316,24,2,6830.77,6867.02
316,24,3,6817.22,6870.55
316,24,4,6803.68,6874.08
316,24,5,6790.13,6877.61
316,24,6,6776.58,6881.13
316,24,7,6763.03,6884.66
316,24,8,6749.48,6888.19
316,24,9,6735.94,6891.72
316,24,10,6722.39,6895.25
316,24,11,6708.84,6898.78
316,24,12,6695.29,6902.31
316,24,13,6681.74,6905.84
316,24,14,6668.2,6909.37
316,24,15,6654.65,6912.9
316,24,16,6616.42,6922.85
316,24,17,6602.88,6926.38
316,24,18,6589.33,6929.91
316,24,19,6575.78,6933.44
316,24,20,6562.23,6936.97
316,24,21,6548.68,6940.5
316,24,22,6535.14,6944.03
316,25,1,6862.59,6884.05
316,25,2,6849.04,6887.58
316,25,3,6835.5,6891.11
316,25,4,6821.95,6894.63
316,25,5,6808.4,6898.16
316,25,6,6794.85,6901.69
316,25,7,6781.3,6905.22
316,25,8,6767.76,6908.75
316,25,9,6754.21,6912.28
316,25,10,6740.66,6915.81
316,25,11,6727.11,6919.34
316,25,12,6713.56,6922.87
316,25,13,6700.02,6926.4
316,25,14,6686.47,6929.92
316,25,15,6672.92,6933.45
316,25,16,6659.37,6936.98
316,25,17,6620.66,6947.07
316,25,18,6607.12,6950.59
316,25,19,6593.57,6954.12
316,25,20,6580.02,6957.65
316,25,21,6566.47,6961.18
316,25,22,6552.92,6964.71
316,25,23,6539.38,6968.24
316,25,24,6525.83,6971.77
316,25,25,6512.28,6975.3
316,10,1,6756.41,6531.94
316,10,2,6742.86,6535.47
316,10,3,6729.31,6539
316,10,4,6715.76,6542.53
316,10,5,6702.22,6546.06
316,10,6,6688.67,6549.59
316,10,7,6675.12,6553.12
316,10,8,6661.57,6556.65
316,10,9,6648.02,6560.18
316,10,10,6634.48,6563.7
316,10,11,6620.93,6567.23
316,10,12,6607.38,6570.76
316,10,13,6593.83,6574.29
316,10,14,6580.29,6577.82
316,10,15,6566.74,6581.35
316,10,16,6553.19,6584.88
316,10,17,6539.64,6588.41
316,10,18,6526.09,6591.94
316,10,19,6512.55,6595.47
316,10,20,6499,6598.99
316,10,21,6485.45,6602.52
316,10,22,6471.9,6606.05
316,10,23,6458.35,6609.58
316,10,24,6444.81,6613.11
316,11,1,6762.58,6555.65
316,11,2,6749.04,6559.18
